Proposition#;socio weight (-1 = liberal, 0 = neutral, 1 = authoritarian);economic weight (-1 = left, 0 = neutral, 1 = right);;English;German;Italian;Czech;Spanish;French;Polish
21;0;-1;;A genuine free market requires restrictions on the ability of predator multinationals to create monopolies;Ein echt freier Markt benîtigt BeschrÑnkungen, die verhindern, dass multinationale Unternehmen Monopole schaffen. ;Un mercato veramente libero richiede restrizioni in modo da evitare che le multinazionali creino monopoli. ;OpravdovÏ volnÏ trh vy?aduje omezen° schopnosti nadn†rodn°ch spole?nost° vytv†?et monopoly. ;Un Mercado realmente libre requiere restricciones a la capacidad de multinacionales depredadoras de crear monopolios. ;Un vÇritable Libre MarchÇ exige des restrictions sur la capacitÇ des multinationales prÇdatrices Ö crÇer des monopoles. ;Prawdziwy wolny rynek powinien zadba? o restrykcje wobec przedsi?biorstw tworz?cych monopole. 
22;1;0;;Abortion, when the woman's life is not threatened, should always be illegal;Abtreibung sollte immer illegal sein, wenn das Leben der Mutter nicht gefÑhrdet ist. ;L?aborto, quando la vita della donna non ä a rischio, dovrebbe essere sempre illegale. ;Potrat, v p?°pad?, ?e je ?ena mimo ohro?en° ?ivota, by m?l bÏt nez†konnÏ. ;El aborto, cuando no estÇ amenazada la vida de la madre, siempre deber°a ser ilegal. ;L?avortement devrait toujours àtre illÇgal si la vie de la märe n?est pas menacÇe. ;Aborcja, kiedy ?ycie matki nie jest zagro?one, powinna by? zawsze zabroniona. 
23;-1;0;;All authority should be questioned;Jede AutoritÑt sollte hinterfragt werden. ;Tutti i tipi di autoritÖ dovrebbero essere messi in discussione. ;V?echny autority by m?ly bÏt zpochyb?ov†ny. ;Toda autoridad deber°a ser cuestionada. ;Toute autoritÇ devrait àtre mise en question. ;Ka?dy autorytet powinien by? kwestionowany. 
24;1;0;;An eye for an eye and a tooth for a tooth;Auge um Auge, Zahn um Zahn. ;Occhio per occhio, dente per dente.;Oko za oko, zub za zub. ;Ojo por ojo y diente por diente. ;?il pour ?il, dent pour dent. ;Oko za oko, z?b za z?b. 
25;0;1;;Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis;Steuerzahler sollten keine Theater oder Museen finanzieren mÅssen, die sich wirtschaftlich nicht selbst tragen kînnen. ;I contribuenti non dovrebbero essere costretti a sostenere teatri o musei che non possano sopravvivere su base commerciale. ;Od da?ovÏch poplatn°k? by se nem?lo o?ek†vat, ?e budou podporovat divadla nebo muzea, kterÇ nedok†?° p?e?°t na komer?n°m z†klad?. ;Los contribuyentes no deber°an financiar aquellos teatros o museos que no fuesen rentables por s° mismos. ;On ne devrait pas attendre des contribuables qu'ils financent des thÇÉtres ou des musÇes qui ne sont pas autosuffisants Çconomiquement. ;Pieni?dze podatnik¢w nie powinny by? przeznaczane na dotowanie teatr¢w i muze¢w, kt¢re nie s? w stanie utrzyma? si? na zasadach komercyjnych. 
26;-1;0;;Schools should not make classroom attendance compulsory;Schulen sollten keine Anwesenheitspflicht haben. ;Le scuole non dovrebbero rendere la frequenza obbligatoria. ;?koly by n?m?ly vy?adovat povinnou ?koln° doch†zku. ;Las escuelas no deber°an exigir que la asistencia a clases sea obligatoria. ;Les Çcoles ne devraient pas rendre la prÇsence en classe obligatoire. ;Szko?y nie powinny wymaga? obowi?zkowej obecno?ci na lekcjach.
27;1;0;;All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind;"Alle Menschen haben ihre Rechte; aber es ist besser fÅr uns alle, wenn verschiedene Arten von Menschen unter sich bleiben. ";Tutte le persone hanno i propri diritti ma ä meglio per tutti se diversi tipi di persone rimangano con i propri simili. ;V?ichni lidÇ maj° sv† pr†va, ale je pro n†s v?echny lep?°, kdy? si ka?d† skupina lid° uchov†v† sv?j vlastn° druh pr†va. ;Todo el mundo tiene sus derechos, pero es mejor para todos que cada cual se junte con los de su clase. ;Toute personne a ses droits, mais il est prÇfÇrable pour nous tous que les diffÇrents types de gens s'en tiennent Ö leurs semblables. ;Wszyscy maj? swoje prawa, ale by?oby lepiej, gdyby r¢?ne grupy spo?eczne trzyma?y si? w?asnego rodzaju. 
28;1;0;;Good parents sometimes have to spank their children;Gute Eltern mÅssen ihre Kinder manchmal schlagen. ;Un buon genitore alcune volte deve sculacciare i propri figli. ;Dob?° rodi?e by ob?as m?li svÏm d?tem napl†cat. ;Para ser un buen padre, a veces hay que dar nalgadas a los hijos.;Les bons parents doivent parfois donner la fessÇe Ö leurs enfants. ;Nawet dobrzy rodzice powinni czasem da? klapsa dziecku. 
29;0;0;;It's natural for children to keep some secrets from their parents;Es ist natÅrlich, wenn Kinder ein paar Geheimnisse vor ihren Eltern haben. ;‘ naturale per alcuni bambini mantenere dei segreti ai propri genitori. ;Je p?irozenÇ, ?e d?ti maj° p?ed svÏmi rodi?i n?jak† tajemstv°. ;Es normal que los hijos se guarden algunos secretos. ;Il est naturel pour des enfants de cacher des choses Ö leurs parents. ;To naturalne, ?e dzieci maj? przed rodzicami tajemnice. 
30;-1;0;;Possessing marijuana for personal use should not be a criminal offence;Der Besitz von Marihuana fÅr den persînlichen Gebrauch sollte keine Straftat sein. ;Possedere marijuana per uso personale non dovrebbe essere un crimine. ;Dr?en° marihuany pro osobn° pot?ebu by nem?lo bÏt trestnÏm ?inem. ;La Marihuana deber°a legalizarse. ;DÇtenir du cannabis pour son usage personnel ne devrait pas àtre une infraction. ;Posiadanie marihuany dla w?asnego u?ytku nie powinno by? karalne. 
31;0;1;;The prime function of schooling should be to equip the future generation to find jobs;Die primÑre Funktion der Schule sollte es sein, die zukÅnftige Generation mit FÑhigkeiten zur Jobfindung auszustatten. ;La prima funzione delle scuole dovrebbe essere quella di preparare le future generazioni per trovare lavoro. ;Hlavn°m £kolem ?kolstv° by m?lo bÏt vybavit budouc° generaci k hled†n° pracovn°ch m°st. ;La principal funci¢n de la escolarizaci¢n deber°a ser preparar a las generaciones futuras para encontrar trabajo. ;La fonction premiäre de l'Çcole devrait àtre de donner Ö la gÇnÇration future les moyens de trouver un emploi. ;G?¢wn? funkcj? nauczania powinno by? przygotowywanie przysz?ych pokole? do znalezienia pracy. 
32;1;0;;People with serious inheritable disabilities should not be allowed to reproduce;Menschen mit ernsthaften Erberkrankungen sollte es nicht gestattet sein, sich fortzupflanzen. ;Non dovremmo lasciar riprodurre le persone che sono affette da gravi malattie ereditarie. ;LidÇ s v†?nÏm d?di?nÏm posti?en°m by nem?li m°t mo?nost m°t d?ti.;No se deber°a permitir el reproducirse a aquellas personas con serias discapacidades hereditarias. ;Les gens souffrant d?un handicap lourd et gÇnÇtiquement transmissible ne devraient pas àtre autorisÇs Ö faire des enfants. ;Ludzie z wadami dziedzicznymi nie powinni mie? prawa do posiadania potomstwa. 
33;1;0;;The most important thing for children to learn is to accept discipline;Das wichtigste fÅr ein Kind ist, dass es lernt, Disziplin zu akzeptieren. ;La cosa pió importante da insegnare ai bambini ä accettare la disciplina. ;Nejd?le?it?j?° v?c, kterou by se m?ly d?ti nau?it, je p?ijmout discipl°nu. ;Lo m†s importante para los ni§os es aprender a aceptar la disciplina. ;La chose la plus importante Ö apprendre pour un enfant est d?accepter la discipline. ;Wa?ne jest, by dzieci uczy?y si? akceptowania dyscypliny.
34;-1;0;;"There are no savage and civilised peoples; there are only different cultures";"Es gibt keine zivilisierten und unzivilisierten Vîlker; es gibt nur verschiedene Kulturen. ";"Non esistono popolazioni selvagge o civilizzate; esistono solamente culture diverse. ";"Neexistuj° ?†dnÇ divokÇ a civilizovanÇ n†rody; existuj° pouze rozd°lnÇ kultury. ";"No hay gentes ni salvajes ni civilizadas; s¢lo culturas diferentes. ";Il n?y a pas de sauvages ou de peuples civilisÇs, il n?y a que des cultures diffÇrentes. ;Nie ma ludzi dzikich ani cywilizowanych, s? jedynie r¢?ne kultury. 
35;1;1;;Those who are able to work, and refuse the opportunity, should not expect society's support;Menschen, die arbeiten kînnen, es aber verweigern, sollten keine gesellschaftliche UnterstÅtzung erhalten. ;Chi ha l?abilitÖ di lavorare, ma rifiuta l?opportunitÖ, non dovrebbe avere il sostegno della societÖ. ;Ti, kte?° jsou schopni pracovat a p?esto odm°taj° takovou p?°le?itost, by nem?li o?ek†vat podporu spole?nosti. ;Aquellos que puedan trabajar, y rechacen la oportunidad, no deber°an esperar ayuda social. ;Ceux en capacitÇ de travailler, mais qui en refusent l?opportunitÇ, ne devraient pas s?attendre Ö àtre soutenus par la sociÇtÇ. ;Ludzie zdolni do pracy, ale niepracuj?cy nie powinni oczekiwa? pomocy spo?ecznej. 
36;0;0;;When you are troubled, it's better not to think about it, but to keep busy with more cheerful things;Wenn einen etwas bedrÅckt, ist es besser, nicht darÅber nachzudenken und sich mit frîhlicheren Sachen zu beschÑftigen. ;Quando si hanno problemi, ä meglio non pensarci, ma tenere la propria mente occupata con cose pió positive. ;Kdy? m† ?lov?k problÇmy, je lep?° na n? nemyslet a zabÏvat se p?°jemn?j?°mi v?cmi. ;Cuando se tienen problemas, es mejor no pensar en ello, sino que mantenerse ocupado con cosas m†s gratas. ;Quand vous àtes soucieux, il vaut mieux ne pas y penser, et s?occuper avec des choses plus gaies. ;Kiedy ma si? k?opoty, lepiej nie my?le? o nich, tylko zaj?? si? rzeczami pozytywnymi. 
37;1;0;;First-generation immigrants can never be fully integrated within their new country;Migranten der ersten Generation, die im Ausland geboren wurden, kînnen nie vollstÑndig in ihrem neuen Land integriert werden. ;Gli immigrati di prima generazione non saranno mai completamente integrati all?interno della loro nuova nazione. ;Imigranti prvn° generace nemohou bÏt nikdy pln? za?len?ni do svÇ novÇ zem?. ;Los inmigrantes de primera generaci¢n jam†s se podr†n integrar plenamente a su nuevo pa°s. ;Les immigrÇs de premiäre gÇnÇration ne peuvent jamais s?intÇgrer totalement dans leur nouveau pays. ;Imigranci pierwszego pokolenie nigdy nie zdo?aj? zintegrowa? si? w swoim nowym kraju. 
38;0;1;;What?s good for the most successful corporations is always, ultimately, good for all of us;Was gut fÅr die erfolgreichsten Unternehmen ist, ist im Endeffekt gut fÅr uns alle. ;Ciï che ä buono per le corporazioni di successo ä, in definitiva, buono per tutti quanti. ;To, co je dobrÇ pro nej£sp??n?j?° korporace, je nakonec v?dy dobrÇ pro n†s v?echny. ;Lo que es bueno para las corporaciones de mayor Çxito, al final, es bueno para todos. ;Ce qui est bon pour les entreprises les plus prospäres est toujours, dans l?absolu, bon pour nous tous. ;Co korzystne dla dobrze prosperuj?cych przedsi?biorstw, jest w efekcie korzystne dla nas wszystkich. 
39;0;1;;No broadcasting institution, however independent its content, should receive public funding;Keine Sendeanstalt, egal wie unabhÑngig ihre Inhalte sind, sollte staatliche UnterstÅtzung erhalten. ;Nessuna emittente dovrebbe ricevere finanziamenti pubblici, a prescindere da quanto siano indipendenti i propri contenuti. ;?†dn† vys°lac° spole?nost, jakkoli jej° obsah by byl nez†vislÏ, by nem?la bÏt financov†na z ve?ejnÏch zdroj?. ;Ning£n medio de comunicaci¢n, por muy independientes que sean sus contenidos, deber°a recibir fondos p£blicos. ;Aucune institution de radiodiffusion, aussi libre que soit son contenu, ne devrait recevoir de financement public. ;?adna instytucja medialna, nawet je?li jest niezale?na, nie powinna otrzymywa? publicznych dotacji. 
40;-1;0;;Our civil liberties are being excessively curbed in the name of counterterrorism;Unsere BÅrgerrechte werden ÅbermÑ·ig fÅr die Terrorabwehr eingeschrÑnkt. ;Al giorno d?oggi le nostre libertÖ civili sono eccessivamente limitate nel nome dell?antiterrorismo. ;Na?e ob?anskÇ svobody jsou p?°li? omezov†ny ve jmÇnu obrany proti terorismu. ;Nuestras libertades civiles est†n siendo excesivamente restringidas en nombre de la lucha contra el terrorismo. ;Nos libertÇs civiles sont excessivement contraintes au nom de la lutte contre le terrorisme. ;Nasze prawa obywatelskie s? naruszane w imi? walki z terroryzmem. 
41;1;0;;A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system;Ein signifikanter Vorteil eines Ein-Parteien-Staates ist, dass alle Diskussionen, die dem Fortschritt im Wege stehen, vermieden werden. ;Un vantaggio significativo di uno stato monopartitico ä che evita tutte le discussioni che ritardano il progresso in un sistema politico democratico. ;VÏznamnou vÏhodou vl†dy jednÇ strany je to, ?e se vyhÏb† v?em argument?m a diskuz°m, kterÇ zdr?uj° pokrok v demokratickÇm politickÇm systÇmu. ;Una gran ventaja de los estados unipartidistas es que evita todas las discusiones que retrasan el progreso en un sistema democr†tico. ;Un avantage important d'un êtat Ö parti unique est qu'il Çvite tous les dÇbats qui retardent les progräs dans un systäme politique dÇmocratique. ;Wielkim plusem jednopartyjnego systemu jest brak dyskusji op¢?niaj?cych post?p w systemach demokratycznych. 
42;1;0;;Although the electronic age makes official surveillance easier, only wrongdoers need to be worried;Obwohl das elektronische Zeitalter öberwachungsma·nahmen einfacher macht, mÅssen sich nur Leute, die etwas zu verbergen haben, darum sorgen. ;Anche se l?era elettronica rende la sorveglianza ufficiale pió facile, solo i colpevoli hanno di che preoccuparsi. ;A?koli elektronickÏ v?k usnad?uje £?edn° dohled, pouze ti, co poru?uj° z†kon, mohou bÏt znepokojeni. ;Aunque la era electr¢nica facilita la vigilancia gubernamental, s¢lo se tienen que preocupar los malhechores. ;Quoique les progräs de l?Çlectronique rendent la surveillance Çtatique plus facile, seuls ceux qui ont quelque chose Ö se reprocher ont des raisons de s?inquiÇter. ;Mimo faktu, ?e post?p technologiczny u?atwia kontrol? spo?ecze?stwa, tylko ludzie z?ej woli powinni si? tego obawia?. 
43;1;0;;The death penalty should be an option for the most serious crimes;Die Todesstrafe sollte eine Bestrafungsmîglichkeit fÅr die schlimmsten Verbrechen sein. ;La pena di morte dovrebbe essere un opzione per la maggior parte dei crimini pió gravi. ;Trest smrti by m?l bÏt mo?nost° pro ty nejz†va?n?j?° zlo?iny. ;La pena de muerte deber°a ser una opci¢n para los cr°menes m†s serios. ;La peine de mort devrait àtre une option dans le cas des crimes les plus graves. ;Kara ?mierci powinna by? opcj? za najci??sze przewinienia. 
44;1;0;;In a civilized society, one must always have people above to be obeyed and people below to be commanded;In einer zivilisierten Gesellschaft hat der einzelne immer Vorgesetzte, denen zu folgen ist, und Untergebene, die zu fÅhren sind. ;In una societÖ civile, bisogna avere sempre persone al di sopra alle quali obbedire e persone al di sotto alle quali comandare. ;V civilizovanÇ spole?nosti je nutnÇ, aby lidÇ byli n?komu poslu?ni a m?li pod sebou jinÇ, kte?° jsou poslu?ni jim. ;En una sociedad civilizada, uno siempre debe tener gente por encima a la que obedecer y gente por debajo a la que mandar. ;Une sociÇtÇ civilisÇe se doit de toujours avoir une hiÇrarchie verticale, avec des gens qui commandent et des gens qui obÇissent. ;W cywilizowanym spo?ecze?stwie powinien by? zachowany podzia? na rz?dz?cych i rz?dzonych. 
45;0;0;;Abstract art that doesn't represent anything shouldn?t be considered art at all;Abstrakte Kunst, die nichts darstellt, sollte Åberhaupt nicht als Kunst gesehen werden. ;L?arte astratta che non rappresenta niente non dovrebbe essere considerata arte. ;Abstraktn° um?n°, kterÇ nic nezobrazuje, by nem?lo v?bec bÏt pova?ov†no za um?n°. ;El arte abstracto que no representa nada no deber°a ser considerado como arte. ;Les ?uvres abstraites qui ne reprÇsentent rien ne devraient pas àtre considÇrÇes comme de l?art. ;Sztuka abstrakcyjna, nie przedstawiaj?ca niczego, nie powinna by? uwa?ana za sztuk? w og¢le. 
46;1;0;;In criminal justice, punishment should be more important than rehabilitation;In der Strafjustiz sollte Bestrafung wichtiger sein als Rehabilitation. ;Nella giustizia penale, la punizione dovrebbe essere pió importante della riabilitazione. ;V trestn°m soudnictv° by trest m?l bÏt d?le?it?j?° ne? rehabilitace. ;En la justicia penal, el castigo deber°a ser m†s importante que la rehabilitaci¢n. ;Dans le domaine pÇnal, la punition devrait àtre plus importante que la rÇinsertion. ;W prawie karnym kara powinna by? wa?niejsza od resocjalizacji. 
